auip;0.1550635054754142
master universitario universidad;0.11666488000106259
universitario universidad;0.11286296005224156
cursar master;0.10260023022110287
descargar;0.09994848741504171
master universitario;0.09496514774543965
boletin informativo;0.0936692240748849
postgrado;0.08351653060950658
informativo;0.080382492690672
auip auip;0.0800796438677507
cursar;0.07895126755420619
informativo auip;0.07770021333530806
boletin informativo auip;0.07770021333530806
asamblea general;0.07770021333530806
asamblea;0.07770021333530806
boletin;0.07759744471444789
institución;0.07631307995819053
universitario iberoamericano;0.07557174019422253
asociacion universitario iberoamericano;0.07557174019422253
base;0.0752297878316095
asociacion universitario;0.07364630203060939
trav;0.07281349360492453
empleo;0.06879857408882786
universitario;0.06843326505342744
asociacion;0.0660768160775716
universidad;0.06383148850850812
iberoamericano;0.06260512980237376
inter;0.06156891240404343
junio;0.059643474240430296
fin;0.059643474240430296
