glasgow;0.055599161711569006
loan;0.05272180149818956
university glasgow;0.05125262136401585
deposit;0.04351601090335183
computing science;0.04207118332910107
computing;0.039876172036610945
postgraduate;0.03903679340097638
master master;0.038858216094813214
date;0.037307055004563675
student loan;0.03647491049654842
data science;0.03619372668917684
postgraduate taught;0.03613894214920326
round date applying;0.03571485455784659
round date;0.03571485455784659
receive decision;0.03571485455784659
date applying;0.03571485455784659
test;0.03531558123633623
discount;0.03503905857308813
data;0.03473899094744929
master master master;0.03441995755365405
graham;0.03441995755365405
scheme;0.03374824943989969
climate;0.03306430787365649
taught master;0.03276283462029511
uk;0.03262932927480163
taken;0.03242452326579017
speaking country;0.03230886533754457
postgraduate master;0.03230886533754457
icon;0.03230886533754457
condition offer;0.03230886533754457
