master degree;0.24764435178686303
artificial intelligence;0.23688367252666054
intelligence;0.23206378713138903
artificial;0.23060144577894645
degree;0.22813221450884313
master;0.20212425739134682
upc;0.18635640374281842
catalunya;0.16831593014794627
barcelona;0.16014638350328675
review;0.1521382656194541
universitat catalunya;0.15148433713315163
universitat;0.15148433713315163
university;0.13405297303588928
program;0.13106339944659642
study;0.11836551308586964
degree year;0.10998042946894766
qualification;0.1074915569171812
september;0.10327250524937635
year;0.09975093114411972
ai;0.09894287102869621
engineering;0.0935366378383493
school;0.08572304484929874
education;0.08280817935570275
september barcelona;0.07454256149712736
student;0.0741122277101605
english;0.07262014600582109
automatic;0.07067347930621158
admission;0.06990047970485141
english start;0.0673263720591785
institute;0.06511725628285286
barcelona;
maestria;
inteligencia artificial;
inteligencia;
artificial;
ia;
espana;
master;
spain;
artificial intelligence;
intelligence;
artificial;
ai;
computational intelligence;
computational vision;
machine learning;
multiagent systems;
big data;
cognitive robotics;
complex networks;
deep learning;
human language engineering;
