obligatorio;0.5676723804032011
necesidad;0.2696755712677321
seguridad;0.22407179203247443
ciberseguridad;0.20038976504576805
profesional;0.19966371751938194
activo;0.18922412680106707
mercado;0.16667479439696023
master;0.13910397075141626
universitario ciberseguridad;0.12825237341695692
identificar;0.12141955503161347
infraestructura;0.11583673590926297
forense;0.10702770090822748
entorno;0.10702770090822748
sistema;0.10300077687077192
desarrollo;0.1013889941388023
competencia;0.10019488252288403
plan estudio;0.09461206340053353
herramienta;0.09461206340053353
estudio;0.09408297859282072
seguro;0.09216109727857603
master universitario;0.09216109727857603
universitario;0.09145763007616521
gobierno;0.08989185708924403
necesario;0.08219642589283958
security;0.0774762195815501
sector;0.0774762195815501
ciencia;0.06555052420249866
tfg credito;0.06412618670847846
tfg;0.06412618670847846
tendencia;0.06412618670847846
quiero;0.15
virtual;0.15
maestria;0.15
valencia;0.15
data mining;0.15
malware;0.15
