virtual;0.6096162267837836
espanol;0.40304126349251423
master;0.37172580712712283
infraestructura;0.2155788134602069
programa;0.15933780581124413
oea;0.14898948292969258
masters;0.14343725124131573
ingles;0.11305237921500298
inteligente;0.11135074387214516
mantenimiento;0.1101623203394734
proyecto;0.0941367790055476
master big;0.08691106163381425
academico;0.07864219775463692
smart;0.06962961213450346
ser;0.0679328043085857
datar;0.06783142752900179
internacional;0.06669485794327913
big datar;0.06596811200413963
big;0.0641554560883151
programa estudio;0.06362899649836866
desarrollo;0.05805868826512225
octubre;0.05737490049652629
aplicado;0.0550811601697367
estudio;0.05466020491085396
apoyar;0.05417799379261548
nivel;0.05346288007359592
promover;0.0477217473737765
ciudadano;0.0477217473737765
convocatorio;0.04612035096481795
julio;0.044416753734974175
oea;
virtual;
maestria;
structuralia;
big data;
bussiness intelligence;
