cycle;0.14889588498495562
cycle degree;0.14473445431161047
action;0.13954778179027794
sat;0.13093168240354633
published;0.12908988168093602
call application;0.12645599012176298
degree programme;0.12428861501496546
single cycle degree;0.12264417661591828
single cycle;0.12264417661591828
ay;0.12233499371318252
call;0.11938551646125435
tuition fee waiver;0.11819752328783625
single;0.11094807008942927
waiver;0.11086560439012903
test;0.10616441196252194
internship;0.1051594935043293
fee waiver;0.1051594935043293
publication;0.1050643384242683
cet;0.1050643384242683
follow;0.09907236737918733
renewal;0.09863525587380619
grant;0.09694217690455402
desk;0.09505908290824398
results;0.09196126097912362
applications;0.09095344391754685
winner;0.08922878838550147
italian;0.08922878838550147
programme;0.08567892530781197
teaching;0.08468345293555105
interested;0.08388260520946296
